SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,PEERS_TIER1,PEERS_TIER2,PROXY_AVAILABLE,ASSIGNMENT_STATUS,VOLUME_INFO_ONLY,LIQUID_INFO_ONLY,LTP,NAV,I_NAV,NOTE
GILT5BETA,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,269,NO,66.59,65.98,65.96,debt/liquid — never traded (D-015)
GSEC10IETF,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,53,NO,263.89,262.32,262.31,debt/liquid — never traded (D-015)
GILT10BETA,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,50,NO,26.65,26.40,26.40,debt/liquid — never traded (D-015)
ABGSEC,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,39,NO,113.07,113.63,113.67,debt/liquid — never traded (D-015)
GSEC10ABSL,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,5,NO,112.34,111.78,111.76,debt/liquid — never traded (D-015)
GSEC10ADD,DEBT,GSECS/GILT,EXCLUDED,DEBT,GSECS/GILT,0,0,NO,AUTO,0,NO,26.30,26.53,26.52,debt/liquid — never traded (D-015)
HYBRIDETF,Hybrid,Equity/Debt,EXCLUDED,HYBRID,EQUITY/DEBT,0,0,NO,AUTO,19385,NO,9.94,9.86,-,hybrid equity/debt — excluded (D-077)
ALPHA,EQUITY,NIFTY Alpha 50,FACTOR,ALPHA,ALPHA 50,1,2,TIER1,AUTO,786376,YES,53.04,52.37,52.92,tier2 ignores cap segment; tier1 keeps exact index
ALPHAETF,EQUITY,Nifty 200 Alpha 30,FACTOR,ALPHA,200 ALPHA 30,0,2,TIER2,AUTO,738021,YES,26.00,25.71,26.03,tier2 ignores cap segment; tier1 keeps exact index
MOALPHA50,EQUITY,Nifty Alpha 50,FACTOR,ALPHA,ALPHA 50,1,2,TIER1,AUTO,2418,NO,55.07,54.35,54.78,tier2 ignores cap segment; tier1 keeps exact index
DIVOPPBEES,EQUITY,Nifty Dividend Opportunities 50,FACTOR,DIVIDEND,DIVIDEND OPPORTUNITIES 50,0,3,TIER2,AUTO,16908,NO,75.19,74.51,74.68,tier2 ignores cap segment; tier1 keeps exact index
DIVIDEND,EQUITY,BSE 500 Dividend Leaders 50,FACTOR,DIVIDEND,500 DIVIDEND LEADERS 50,0,3,TIER2,AUTO,3816,NO,34.82,34.65,34.77,tier2 ignores cap segment; tier1 keeps exact index
ELMDIV,EQUITY,BSE LargeMid (60:40) Stable Dividend 50,FACTOR,DIVIDEND,LARGEMID (60:40) STABLE DIVIDEND 50,1,3,TIER1,AUTO,1592,NO,35.10,35.11,36.05,tier2 ignores cap segment; tier1 keeps exact index
LARGEMID50,EQUITY,BSE LargeMid (60:40) Stable Dividend 50,FACTOR,DIVIDEND,LARGEMID (60:40) STABLE DIVIDEND 50,1,3,TIER1,AUTO,1283,NO,35.31,35.11,-,tier2 ignores cap segment; tier1 keeps exact index
