SYMBOL,NSE_CATEGORY,NSE_SUB_CATEGORY,ATOM_BUCKET,TIER2_GROUP,TIER1_INDEX,VOLUME,LIQUID,TRADABLE,HARVEST_PEERS_TIER1,HARVEST_PEERS_TIER2,HARVEST_VIABLE,LTP,NAV,I_NAV,NOTE
LOWVOL1,EQUITY,NIFTY 100 Low Volatility 30,FACTOR,LOW_VOLATILITY_LARGECAP100,100 LOW VOLATILITY 30,3967,NO,NO,0,0,NO,20.32,20.33,20.41,factor split by cap segment (Q-202)
LOWVOL,EQUITY,Nifty 100 Low Volatility 30,FACTOR,LOW_VOLATILITY_LARGECAP100,100 LOW VOLATILITY 30,2030,NO,NO,0,0,NO,199.88,198.64,199.62,factor split by cap segment (Q-202)
ALPL30IETF,EQUITY,Nifty Alpha Low-Volatility 30,FACTOR,LOW_VOLATILITY_UNSPECIFIED,ALPHA LOW-VOLATILITY 30,894010,YES,YES,0,0,NO,26.93,26.89,27.07,factor split by cap segment (Q-202)
MOMENTUM50,EQUITY,Nifty 500 Momentum 50,FACTOR,MOMENTUM_BROAD500,500 MOMENTUM 50,239860,YES,YES,0,0,NO,53.25,52.46,53.17,factor split by cap segment (Q-202)
GROWWMOM50,EQUITY,Nifty 500 Momentum 50,FACTOR,MOMENTUM_BROAD500,500 MOMENTUM 50,71314,NO,NO,0,0,NO,10.84,10.62,10.76,factor split by cap segment (Q-202)
MOM30IETF,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM_LARGECAP200,200 MOMENTUM 30,432970,YES,YES,3,3,TIER1,30.84,30.25,30.69,factor split by cap segment (Q-202)
MOMOMENTUM,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM_LARGECAP200,200 MOMENTUM 30,211558,YES,YES,3,3,TIER1,60.69,60.14,61.00,factor split by cap segment (Q-202)
MOMENTUM30,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM_LARGECAP200,200 MOMENTUM 30,171221,YES,YES,3,3,TIER1,29.98,29.71,30.13,factor split by cap segment (Q-202)
HDFCMOMENT,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM_LARGECAP200,200 MOMENTUM 30,142609,YES,YES,3,3,TIER1,30.26,29.99,30.38,factor split by cap segment (Q-202)
MOMENTUM,EQUITY,Nifty 200 Momentum 30,FACTOR,MOMENTUM_LARGECAP200,200 MOMENTUM 30,35933,NO,NO,0,0,NO,30.47,30.09,30.51,factor split by cap segment (Q-202)
MOMMIDCAP,EQUITY,BSE Midcap 150 Momentum 30,FACTOR,MOMENTUM_MIDCAP,MIDCAP 150 MOMENTUM 30,1344900,YES,YES,0,1,TIER2,12.70,12.58,-,factor split by cap segment (Q-202)
SBIMIDMOM,EQUITY,Nifty Midcap 150 Momentum 50,FACTOR,MOMENTUM_MIDCAP,MIDCAP 150 MOMENTUM 50,106166,YES,YES,0,1,TIER2,62.82,61.74,62.48,factor split by cap segment (Q-202)
