SYMBOL,SCHEME_NAME,AMC,BENCHMARK_INDEX,ISIN,EXPENSE_RATIO,LAUNCH_DATE,UNDERLYING_ASSET,SOURCE,FETCHED_AT,ERROR
MOSERVICE,,,,,,,,,2026-09-20T14:35:11+00:00,
MOSILVER,,,,,,,,,2026-09-20T14:35:11+00:00,
MOSMALL250,,,,,,,,,2026-09-20T14:35:11+00:00,
MOTOUR,,,,,,,,,2026-09-20T14:35:11+00:00,
MOVALUE,,,,,,,,,2026-09-20T14:35:11+00:00,
MSCI360,,,,,,,,,2026-09-20T14:35:11+00:00,
MSCIADD,,,,,,,,,2026-09-20T14:35:11+00:00,
MSCIINDIA,,,,,,,,,2026-09-20T14:35:11+00:00,
MULTICAP,,,,,,,,,2026-09-20T14:35:11+00:00,
NETF,,,,,,,,,2026-09-20T14:35:11+00:00,
NEXT30ADD,,,,,,,,,2026-09-20T14:35:11+00:00,
NEXT50,,,,,,,,,2026-09-20T14:35:11+00:00,
NEXT50ADD,,,,,,,,,2026-09-20T14:35:11+00:00,
NEXT50BETA,,,,,,,,,2026-09-20T14:35:11+00:00,
NEXT50ETF,,,,,,,,,2026-09-20T14:35:11+00:00,
NEXT50IETF,,,,,,,,,2026-09-20T14:35:11+00:00,
NIF100BEES,,,,,,,,,2026-09-20T14:35:11+00:00,
NIF100IETF,,,,,,,,,2026-09-20T14:35:11+00:00,
NIF500BETA,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTY1,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTY100EW,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTYADD,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTYAXIS,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTYBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTYBETA,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTYBETF,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTYCASE,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTYETF,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTYIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTYJBLK,,,,,,,,,2026-09-20T14:35:11+00:00,
NIFTYQLITY,,,,,,,,,2026-09-20T14:35:11+00:00,
NPBET,,,,,,,,,2026-09-20T14:35:11+00:00,
NV20,,,,,,,,,2026-09-20T14:35:11+00:00,
NV20BEES,,,,,,,,,2026-09-20T14:35:11+00:00,
NV20IETF,,,,,,,,,2026-09-20T14:35:11+00:00,
OILIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
PHARMABEES,,,,,,,,,2026-09-20T14:35:11+00:00,
PSUBANK,,,,,,,,,2026-09-20T14:35:11+00:00,
PSUBANKADD,,,,,,,,,2026-09-20T14:35:11+00:00,
PSUBNKBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
PSUBNKIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
PVTBANIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
PVTBANK,,,,,,,,,2026-09-20T14:35:11+00:00,
PVTBANKADD,,,,,,,,,2026-09-20T14:35:11+00:00,
PVTBKGROWW,,,,,,,,,2026-09-20T14:35:11+00:00,
QGOLDHALF,,,,,,,,,2026-09-20T14:35:11+00:00,
QNIFTY,,,,,,,,,2026-09-20T14:35:11+00:00,
QUAL30IETF,,,,,,,,,2026-09-20T14:35:11+00:00,
QUALITY30,,,,,,,,,2026-09-20T14:35:11+00:00,
SBIBPB,,,,,,,,,2026-09-20T14:35:11+00:00,
SBIETFCON,,,,,,,,,2026-09-20T14:35:11+00:00,
SBIETFIT,,,,,,,,,2026-09-20T14:35:11+00:00,
SBIETFPB,,,,,,,,,2026-09-20T14:35:11+00:00,
SBIETFQLTY,,,,,,,,,2026-09-20T14:35:11+00:00,
SBIMIDMOM,,,,,,,,,2026-09-20T14:35:11+00:00,
SBINEQWETF,,,,,,,,,2026-09-20T14:35:11+00:00,
SBINMID150,,,,,,,,,2026-09-20T14:35:11+00:00,
SBISILVER,,,,,,,,,2026-09-20T14:35:11+00:00,
SBISMLETF,,,,,,,,,2026-09-20T14:35:11+00:00,
SBIVALETF,,,,,,,,,2026-09-20T14:35:11+00:00,
SELECTIPO,,,,,,,,,2026-09-20T14:35:11+00:00,
SENSEXADD,,,,,,,,,2026-09-20T14:35:11+00:00,
SENSEXAXIS,,,,,,,,,2026-09-20T14:35:11+00:00,
SENSEXBETA,,,,,,,,,2026-09-20T14:35:11+00:00,
SENSEXETF,,,,,,,,,2026-09-20T14:35:11+00:00,
SENSEXIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
SETFGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
SETFNIF50,,,,,,,,,2026-09-20T14:35:11+00:00,
SETFNIFBK,,,,,,,,,2026-09-20T14:35:11+00:00,
SETFNN50,,,,,,,,,2026-09-20T14:35:11+00:00,
SHARIABEES,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVER,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVER001,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVER1,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVER360,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVERADD,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVERAG,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVERAXIS,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVERBEES,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVERBETA,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVERBND,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVERCASE,,,,,,,,,2026-09-20T14:35:11+00:00,
SILVERIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
SMALL250,,,,,,,,,2026-09-20T14:35:11+00:00,
SMALLADD,,,,,,,,,2026-09-20T14:35:11+00:00,
SMALLCAP,,,,,,,,,2026-09-20T14:35:11+00:00,
SMALLGROWW,,,,,,,,,2026-09-20T14:35:11+00:00,
SMALLIETF,,,,,,,,,2026-09-20T14:35:11+00:00,
SML100CASE,,,,,,,,,2026-09-20T14:35:11+00:00,
SNXT30BEES,,,,,,,,,2026-09-20T14:35:11+00:00,
SNXT50BETA,,,,,,,,,2026-09-20T14:35:11+00:00,
TATAGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
TATSILV,,,,,,,,,2026-09-20T14:35:11+00:00,
TECH,,,,,,,,,2026-09-20T14:35:11+00:00,
TNIDETF,,,,,,,,,2026-09-20T14:35:11+00:00,
TOP100CASE,,,,,,,,,2026-09-20T14:35:11+00:00,
TOP10ADD,,,,,,,,,2026-09-20T14:35:11+00:00,
TOP15IETF,,,,,,,,,2026-09-20T14:35:11+00:00,
TOP20,,,,,,,,,2026-09-20T14:35:11+00:00,
TWCGOLDETF,,,,,,,,,2026-09-20T14:35:11+00:00,
UNIONGOLD,,,,,,,,,2026-09-20T14:35:11+00:00,
VAL30IETF,,,,,,,,,2026-09-20T14:35:11+00:00,
VALUE,,,,,,,,,2026-09-20T14:35:11+00:00,
VALUEAXIS,,,,,,,,,2026-09-20T14:35:11+00:00,
