SYMBOL,ISIN,SCHEME_NAME,AMC,BENCHMARK_DERIVED,NSE_SUB_CATEGORY,BENCHMARK_MATCHES_NSE,EXCHANGE,ISIN_SOURCE,NAME_SOURCE,FETCHED_AT
GROWWSLVR,INF666M01OF4,Groww Silver ETF,Groww Mutual Fund,Silver,SILVER,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCBSE500,INF179KC1EZ4,HDFC BSE 500 ETF,HDFC Mutual Fund,Bse 500,BSE 500,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCGOLD,INF179KC1981,HDFC Gold ETF,HDFC Mutual Fund,Gold,GOLD,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCGROWTH,INF179KC1DJ0,HDFC NIFTY GROWTH SECTORS 15 ETF,HDFC Mutual Fund,,Nifty Growth Sectors 15,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCLOWVOL,INF179KC1HU8,HDFC NIFTY100 Low Volatility 30 ETF,HDFC Mutual Fund,,Nifty 100 Low Volatility 30,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCMID150,INF179KC1HT0,HDFC NIFTY Midcap 150 ETF,HDFC Mutual Fund,Nifty Midcap 150,Nifty Midcap 150,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCMOMENT,INF179KC1HV6,HDFC NIFTY200 MOMENTUM 30 ETF,HDFC Mutual Fund,,Nifty 200 Momentum 30,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCNEXT50,INF179KC1HS2,HDFC NIFTY NEXT 50 ETF,HDFC Mutual Fund,Nifty Next 50,Nifty Next 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCNIF100,INF179KC1HR4,HDFC NIFTY 100 ETF,HDFC Mutual Fund,Nifty 100,Nifty 100,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCNIFBAN,INF179KC1HY0,HDFC NIFTY BANK ETF,HDFC Mutual Fund,Nifty Bank,Nifty Bank,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCNIFIT,INF179KC1IA8,HDFC NIFTY IT ETF,HDFC Mutual Fund,Nifty It,Nifty IT,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCNIFTY,INF179KC1965,HDFC NIFTY 50 ETF,HDFC Mutual Fund,Nifty 50,Nifty 50,YES,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
HDFCNIMEG,INF179KC1KT4,HDFCAMC - HDFCNIMEG,,,Nifty Metal,,NSE,dhan,upstox,2026-09-20T14:45:08+00:00
HDFCPSUBK,INF179KC1HW4,HDFC NIFTY PSU BANK ETF,HDFC Mutual Fund,,Nifty PSU Bank,,NSE,dhan,amfi,2026-09-20T14:45:08+00:00
